state,city,population,incident_count,per_capita,lat,lng
California,Cypress,50269,2,3.9785951580496928,33.8171,-118.0386
California,Dublin,72142,2,2.772310166061379,37.7161,-121.8963
California,Folsom,79036,2,2.530492433827623,38.6668,-121.1422
California,Glendora,52610,2,3.8015586390420073,34.1449,-117.8467
North Carolina,Indian Trail,40079,2,4.990144464682253,35.0699,-80.6452
Arkansas,Craighead County,111231,2,1.7980598933750482,,
North Carolina,Lee County,63285,2,3.160306549735324,,
Arkansas,Carroll County,28260,2,7.077140835102619,,
Alabama,Baldwin County,231767,2,0.8629356206880187,,
Alabama,Chambers County,34772,2,5.7517542850569425,,
Alabama,Chilton County,45014,2,4.443062158439597,,
Alabama,Covington County,37570,2,5.3233963268565345,,
Ohio,Hocking County,28050,2,7.1301247771836005,,
Ohio,Gahanna,35749,2,5.594562085652746,40.0251,-82.8637
Alabama,Geneva County,26659,2,7.502156870100153,,
Ohio,Franklin County,1323807,2,0.15107942471976654,,
Ohio,Cuyahoga Falls,51109,2,3.9132051106458743,41.1641,-81.5207
Ohio,Coshocton County,36612,2,5.4626898284715395,,
Alabama,Shelby County,223024,2,0.8967644737786067,,
Ohio,Clermont County,208601,2,0.9587681746492108,,
Alabama,Tallapoosa County,41311,2,4.841325554936942,,
Ohio,Beavercreek,46507,2,4.300427892575311,39.731,-84.0624
Ohio,Avon Lake,25269,2,7.914836360758242,41.4944,-82.0159
North Dakota,Ward County,69919,2,2.860452809679772,,
North Carolina,Randolph County,144171,2,1.3872415395606605,,
Arizona,Maricopa County,4420568,2,0.04524305473866706,,
Arizona,Pima County,1043433,2,0.19167498056894886,,
Arizona,Queen Creek,59590,2,3.356267830172848,33.2454,-111.6173
Arkansas,Boone County,37373,2,5.351456934150322,,
New York,Greece,97102,2,2.0596898107145063,,
Indiana,Johnson County,161765,2,1.2363613884338394,,
New Mexico,Valencia County,76205,2,2.624499704743783,,
New Jersey,West New York,52798,2,3.7880222735709688,40.7857,-74.0094
California,Pleasant Hill,34595,2,5.781182251770487,37.9539,-122.0759
New York,Colonie,85553,2,2.3377321660257384,,
California,San Clemente,64409,2,3.1051561117235167,33.4499,-117.6102
New Mexico,Taos County,34489,2,5.798950389979414,,
California,Laguna Niguel,64519,2,3.0998620561385017,33.5275,-117.705
California,Pleasanton,80421,2,2.4869126223250144,37.6663,-121.8805
New York,Clarence,32943,2,6.071092493094133,,
